id;definition;description;created_by;created_date;last_modified_by;last_modified_date
1;Brook Marketing;navigate Credit Card Account parsing;California plum Intelligent Soft Gloves;2021-03-14T06:02:25;transmitting Unbranded Cotton Mouse;2021-03-14T17:02:04
2;Checking Account;Fantastic Plastic Fish Tennessee;Streamlined JBOD National;2021-03-14T16:41:53;Cambridgeshire;2021-03-13T18:53:47
3;application Checking Account;Grass-roots deposit;USB Via Macao;2021-03-13T19:31:24;RSS;2021-03-14T18:27:12
4;withdrawal;Buckinghamshire Designer deposit;deposit;2021-03-14T04:34:48;Algeria Awesome Rubber Chicken;2021-03-14T17:41:23
5;brand panel;Computer composite;Baht Licensed Towels;2021-03-13T21:44:04;backing up Savings Account;2021-03-14T17:14:54
6;core Bike;Agent copy system;deliverables Kuwaiti Dinar Identity;2021-03-13T21:09:30;Managed navigating;2021-03-14T00:49:02
7;matrix driver Metal;Circles Global networks;Money Market Account green;2021-03-13T20:53:57;synthesize;2021-03-13T19:22:14
8;Solomon Islands Dollar Alabama Metal;metrics experiences;Overpass;2021-03-14T01:47:17;Quetzal;2021-03-14T00:32:10
9;Rubber;Marshall Islands Unbranded;deposit;2021-03-14T08:59:05;Human;2021-03-13T22:41:44
10;portal;Bulgaria redundant Crossroad;Corporate;2021-03-14T00:36:26;Cambridgeshire global Digitized;2021-03-14T01:58:12
