id;reason;price;created_by;created_at;last_updated_by;last_updated_at
1;Chief;99263;plug-and-play;2021-03-14T07:19:11;methodical;2021-03-14T01:21:05
2;bottom-line orange;27678;Chief;2021-03-14T06:22:48;parallelism;2021-03-14T03:16:43
3;TCP Cotton;59093;Identity;2021-03-13T21:29:47;Plastic;2021-03-13T19:32:41
4;lime moderator auxiliary;84157;Automotive Home Loan Account;2021-03-14T08:00:56;Hollow Manor;2021-03-14T06:24:20
5;silver Frozen Centers;47624;Product Berkshire Front-line;2021-03-13T21:27:03;capacitor Auto Loan Account;2021-03-14T03:09:10
6;Borders Kroon pink;99501;systems bypassing;2021-03-13T18:30:54;Rustic Soft Gloves Producer;2021-03-14T18:05:11
7;Cambridgeshire;95849;GB;2021-03-14T04:13:34;Minnesota;2021-03-14T09:00:53
8;Liberia Solutions;66376;Auto Loan Account holistic Tennessee;2021-03-14T09:10:14;transmit;2021-03-14T08:45:01
9;dot-com;89378;Steel;2021-03-14T15:27:35;Money Market Account microchip;2021-03-14T14:09:08
10;connecting methodical Movies;47182;overriding;2021-03-14T01:57:09;primary Dynamic Directives;2021-03-14T10:32:49
