id;valid_from;valid_till;type;created_by;created_date;last_modified_by;last_modified_date
1;2021-03-14;2021-03-13;Kyat;Towels parse;2021-03-14T07:34:29;Diverse connecting Licensed Metal Ball;2021-03-14T14:04:59
2;2021-03-14;2021-03-13;Public-key;SDD;2021-03-14T07:01:41;Bulgarian Lev Team-oriented;2021-03-14T02:04:20
3;2021-03-14;2021-03-13;driver payment;synergistic Wooden;2021-03-14T17:23:24;olive;2021-03-14T06:14:55
4;2021-03-14;2021-03-14;flexibility Bedfordshire;Data reinvent silver;2021-03-14T01:44:52;internet solution enable;2021-03-14T16:49:42
5;2021-03-14;2021-03-14;website Intranet Buckinghamshire;Administrator emulation;2021-03-14T16:47:10;navigating best-of-breed;2021-03-14T17:30:50
6;2021-03-14;2021-03-14;quantifying;transitional Handcrafted Granite Computer;2021-03-14T01:47:23;connecting Fish;2021-03-13T23:26:18
7;2021-03-13;2021-03-14;Assistant;Buckinghamshire Infrastructure;2021-03-13T19:17:08;Trinidad and Tobago Dollar Granite;2021-03-14T15:48:40
8;2021-03-13;2021-03-14;copying;Forward Movies;2021-03-14T07:33:17;Lead;2021-03-14T15:29:51
9;2021-03-14;2021-03-14;Facilitator;tan;2021-03-13T21:41:44;multi-byte RSS;2021-03-13T19:35:23
10;2021-03-14;2021-03-14;Automotive Incredible;withdrawal Licensed Cotton Cheese;2021-03-14T17:28:37;platforms;2021-03-14T16:27:14
